mode,matrix_layout,data_layout,looking,m,b,repeat,num_systems,num_threads,time_ms,gflops,max_rel_error
direct_fp32_mkl,contiguous,col_major,direct,4096,32,1,40,40,20.571436,32.62235266,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,2,40,40,20.596498,32.5826575,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,3,40,40,20.54764,32.66013226,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,4,40,40,20.531847,32.68525428,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,5,40,40,20.531656,32.68555834,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,6,40,40,20.531415,32.68594201,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,7,40,40,20.555913,32.64698775,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,8,40,40,20.531114,32.6864212,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,32,9,40,40,20.517678,32.70782591,1.257705084e-06
fp64,tiled,col_major,right,4096,64,0,40,40,40.145592,16.71637175,3.210165992e-16
fp64,tiled,col_major,right,4096,64,1,40,40,40.249486,16.67322261,3.210165992e-16
fp64,tiled,col_major,right,4096,64,2,40,40,40.169162,16.70656311,3.210165992e-16
fp64,tiled,col_major,right,4096,64,3,40,40,40.205445,16.69148644,3.210165992e-16
fp64,tiled,col_major,right,4096,64,4,40,40,40.176705,16.70342653,3.210165992e-16
fp64,tiled,col_major,right,4096,64,5,40,40,40.171609,16.70554545,3.210165992e-16
fp64,tiled,col_major,right,4096,64,6,40,40,40.187257,16.69904069,3.210165992e-16
fp64,tiled,col_major,right,4096,64,7,40,40,40.161377,16.70980156,3.210165992e-16
fp64,tiled,col_major,right,4096,64,8,40,40,40.186381,16.69940471,3.210165992e-16
fp64,tiled,col_major,right,4096,64,9,40,40,40.17427,16.70443894,3.210165992e-16
fp32_fp64,tiled,col_major,right,4096,64,0,40,40,20.383056,32.92384812,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,1,40,40,20.361487,32.95872448,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,2,40,40,20.373413,32.93943141,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,3,40,40,20.386997,32.91748363,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,4,40,40,20.352382,32.97346915,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,5,40,40,20.365114,32.95285457,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,6,40,40,20.347643,32.98114873,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,7,40,40,20.332578,33.00558542,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,8,40,40,20.345596,32.98446701,3.230327255e-16
fp32_fp64,tiled,col_major,right,4096,64,9,40,40,20.32168,33.02328548,3.230327255e-16
fp32,tiled,col_major,right,4096,64,0,40,40,20.258451,33.12635502,1.285623808e-06
fp32,tiled,col_major,right,4096,64,1,40,40,20.22034,33.18879109,1.285623808e-06
fp32,tiled,col_major,right,4096,64,2,40,40,20.224228,33.18241072,1.285623808e-06
fp32,tiled,col_major,right,4096,64,3,40,40,20.212918,33.20097771,1.285623808e-06
fp32,tiled,col_major,right,4096,64,4,40,40,20.219103,33.19082157,1.285623808e-06
fp32,tiled,col_major,right,4096,64,5,40,40,20.204382,33.21500455,1.285623808e-06
fp32,tiled,col_major,right,4096,64,6,40,40,20.220858,33.18794089,1.285623808e-06
fp32,tiled,col_major,right,4096,64,7,40,40,20.23551,33.16391037,1.285623808e-06
fp32,tiled,col_major,right,4096,64,8,40,40,20.217448,33.19353857,1.285623808e-06
fp32,tiled,col_major,right,4096,64,9,40,40,20.211063,33.20402494,1.285623808e-06
direct_fp64_mkl,contiguous,col_major,direct,4096,64,0,40,40,40.502655,16.56900369,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,1,40,40,40.473009,16.58114029,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,2,40,40,40.488607,16.5747525,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,3,40,40,40.49833,16.57077317,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,4,40,40,40.494545,16.57232203,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,5,40,40,40.477617,16.57925268,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,6,40,40,40.499396,16.570337,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,7,40,40,40.478904,16.57872555,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,8,40,40,40.462755,16.58534225,2.796139708e-16
direct_fp64_mkl,contiguous,col_major,direct,4096,64,9,40,40,40.53208,16.55697512,2.796139708e-16
direct_fp32_mkl,contiguous,col_major,direct,4096,64,0,40,40,20.588189,32.59580724,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,1,40,40,20.54083,32.67096023,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,2,40,40,20.538323,32.67494819,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,3,40,40,20.53493,32.6803471,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,4,40,40,20.550894,32.6549609,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,5,40,40,20.570342,32.62408763,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,6,40,40,20.538224,32.6751057,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,7,40,40,20.506762,32.72523668,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,8,40,40,20.494695,32.74450486,1.257705084e-06
direct_fp32_mkl,contiguous,col_major,direct,4096,64,9,40,40,20.569854,32.62486161,1.257705084e-06
fp64,tiled,col_major,right,4096,128,0,40,40,43.739118,15.3429852,3.908427255e-16
fp64,tiled,col_major,right,4096,128,1,40,40,45.732922,14.67408184,3.908427255e-16
fp64,tiled,col_major,right,4096,128,2,40,40,40.669146,16.50117364,3.908427255e-16
fp64,tiled,col_major,right,4096,128,3,40,40,40.077353,16.74483442,3.908427255e-16
fp64,tiled,col_major,right,4096,128,4,40,40,40.098211,16.73612421,3.908427255e-16
fp64,tiled,col_major,right,4096,128,5,40,40,40.116558,16.72847007,3.908427255e-16
fp64,tiled,col_major,right,4096,128,6,40,40,40.068453,16.74855378,3.908427255e-16
